VISIT_AREA_NM,counts,overview
제주동문시장,707,"제주특별자치도 제주시 이도1동에 있는 재래시장이며, 제주시민속오일장과 함께 제주도에서 가장 큰 시장이다.1945년 제주 상업의 근거지가 되는 동문상설시장이 만들어졌고, 1946년 4월에 모슬포에 국방 경비대 제9연대가 창설되면서 육지에서 제주를 찾는 왕래객이 많아졌다.

제주시 일도리 1146번지 남수각 하천 하류 주변에 각종 일용품 및 채소, 식료품 등을 판매하는 노점이 하나 둘 생기면서 매일 장사하게 된 것이 동문시장의 시초이다. 이름은 제주읍성의 동문에서 따왔는데, 상설시장이 생겼을 때에는 이미 제주읍성은 다 헐리고 흔적 정도만 남아있었다.

1954년 3월 13일 동문상설시장에 시장 건물 112채가 불타고, 재산피해가 당시 화폐단위로 1억 7900만환에 달하는 대형 화재가 발생하였다. 1954년 10월 28일에도 상인의 담뱃불로 다시 화재가 발생하여 첫 번째 화재로 타다 남은 건물 23채를 모두 태웠다. 이후 동문상설시장은 당시의 자리에서 현재의 동문공설시장의 자리로 옮겨 1954년 11월 9일 다시 개장되었다.

불탄 동문상설시장은 당시로 유일한 상설시장이었으며, 지금의 동문공설시장과 위치가 달라 현재 동문로타리에 세워진 해병혼 탑 동북쪽에 위치하고 있었는데, 지금의 동문시장 자리이다."
함덕해수욕장,677,"제주특별자치도 제주시 조천읍 함덕리에 있는 해수욕장이다.

제주시에 있는 해수욕장 중에서는 가장 대표적인 해수욕장이다. 제주 서쪽의 협재해수욕장, 이호테우 해변과 서귀포의 표선해수욕장 그리고 제주 동부의 함덕해수욕장 이렇게 4개의 해변이 규모가 큰 편인데, 그 중에서도 가장 규모가 크다. 피서철에는 엄청나게 많은 사람들(도민, 관광객)이 오가는 해수욕장이지만, 대천, 해운대, 경포대에는 비할 바가 못된다. 그 이유는 여러 가지가 있지만, 차량으로 방문하기 어려운 까닭에 항공권과 숙박지 예약이 필수적인 점이 크다.

동쪽에 서우봉이 있으며, 올라가면 계절에 따라 유채꽃과 갈대를 볼 수 있다. 서우봉에서 내려다보는 해변도 매우 인상적이며, 함덕해수욕장에 어마어마한 투자가 몰려든 원인이기도 하다.

해변은 3개로 나누어져 있는데, 서쪽 해변은 썰물 때만 드러나며 후방에 호텔들을 끼고 있다. 주로 산책을 많이 한다.

중앙해변은 서쪽 해변과 카페 델문도가 있는 곶으로 구분되며, 상시 유지되는 해변이다. 협재해수욕장과 우도 산호해수욕장과 함께 대한민국에서 아주 보기 드문 에메랄드 빛 바다를 가지고 있다. 델문도는 입지 자체가 매우 독특해서 제주도에서 가장 유명한 카페 중 하나이다. 중앙 곶에서는 수공예품을 파는 야시장이 열리며 가끔 버스킹 공연이 있다. 동쪽 공원에서는 캠핑을 할 수 있다. 해변 그 자체에서도 종종 외국인들이 비치발리볼을 하는데 에메랄드 빛 바다와 합쳐져서 매우 이국적인 느낌을 준다.

동쪽 해변은 중앙 해변 동쪽의 공원을 기준으로 구분되는데 서우봉에 올라가기 위한 입구 주변에 작게 있으며, 후방에 캠핑장을 끼고 있다. 스노클링을 하는 사람들은 동쪽 해변에서 활동하는 편이지만, 동쪽 해변 자체가 캠핑장의 생활 하수가 흘러든다고 해서 인기가 많지는 않다.

해운대해수욕장과 광안리해수욕장의 관계처럼 함덕도 주변에 작은 해수욕장들을 끼고 있는데, 위성 해변들이 확고한 컨텐츠로 무장한 것이 장점이다. 함덕해수욕장 서쪽에는 삼양해수욕장이 있고, 모래 찜질을 주로 한다. 동쪽에는 김녕해수욕장이 있는데 캠핑으로 유명하다. 김녕에서 동쪽으로 더 가면 카페 거리로 유명한 월정리가 있다.

함덕 해변 자체에도 호텔이 많이 들어서 있으며 대명 리조트가 위치해 있어서 숙박하기 좋은 편이다. 편의점도 많고, 스타벅스 등도 입점해 있어서 해운대해수욕장의 미니 버전 느낌이 든다. 당연히 해수욕장 인근도로는 차와 사람으로 혼잡하며 주차할 곳도 부족할 정도다.

'함덕'이라는 명칭은 구전 되어오는 설화에서 유래되었는데, 옛날에 함씨 성을 가진 한 할머니가 흉년에 마을 사람들에게 죽을 나누어주는 등 덕을 베풀어왔다는 이야기에서 유래되었다.
"
성산일출봉,490,"성산일출봉은 제주도 동부에 위치한 육계도로, 얕은 바다에서 현무암질 마그마가 폭발하여 형성된 수성화산입니다. 해수면에서 가파르게 쌓인 화산재와 화산력으로 독특한 층리가 형성되었으며, 침식으로 인해 초기 지형은 상당 부분 훼손되었지만, 주요 구조는 여전히 잘 보존되어 있습니다. 이곳은 다양한 지질학적 연구와 생물학적 발견의 중요한 장소로, 하와이의 다이아몬드 헤드와 유사한 희귀한 지질학적 사례로 여겨집니다.

과거에는 요새로도 활용되었으며, 고려와 일제강점기 동안 군사적 목적에 사용되었습니다. 특히, 일제강점기에는 해안절벽에 굴을 파서 군사 장비를 숨겼지만, 패전 후 해녀들의 탈의장 등으로 활용되었고 현재는 역사적 가치로 보호되고 있습니다. 성산일출봉과 주변 해안 일대는 다양한 육상 및 해양 생물들이 서식하며, 제주특별자치도 기념물과 천연기념물로 지정되었습니다. 2007년에는 유네스코 세계자연유산에 등재되었고, 현재는 관광명소로도 큰 인기를 끌고 있습니다."
전주한옥마을,405,"전주한옥마을(영어: Jeonju Hanok Village)은 전북특별자치도 전주시 완산구 풍남동에 있는 면적 298,260m2의 한옥마을이다. 현재 947가구, 2,202명의 인구가 거주하고 있다. 총 947동의 건물 중에 한옥이 735개이고 비한옥이 212개이다. 

전주에는 지금으로부터 약 1만 5천년 전부터 사람이 살기 시작했다고 추측되고 있다. 원래 자연부락 형태의 마을들이 산자락에 형성되었었으나, 665년 신라 문무왕 때 완산주(完山州)가 설치되면서 주거지가 평지로 이동했다. 전주사람들의 본격적인 평지에서의 생활은 전주성의 축조와 함께 시작되었다.

전주읍성을 중심으로 고려시대에는 한벽당, 오목대, 간납대 등이 지어졌고, 그 주위로 옥류동, 자만동과 같은 마을이 자연스럽게 형성되었다. 이 마을들이 현재 한옥마을의 모태가 되었다. 전주한옥마을이 지금의 형태를 갖추게 된 것은 을사조약이 채결된 1905년 이후이다. 

원래 일본인들은 현재의 다가동인 전주읍성의 서문 밖에 거주하였다. 주로 상인이나 천민들이 성 밖에 거주하기 때문에 성 안과 밖은 신분의 차이를 나타낸다고 볼 수 있다. 하지만 1911년 말 전주읍성의 남문을 제외하고는 성곽이 모두 철거되면서 일본인들이 성 안으로 거주지를 옮기기 시작하였다. 늘어나는 “일본인 주택에 대한 대립의식과 민족적 자긍심”으로 뭉친 한국인들은 교동과 풍남동 일대에 한옥촌을 형성하기 시작했다. 이것이 바로 “팔작지붕의 휘영청 늘어진 곡선의 용마루”를 가진 한옥들이 즐비한 지금의 전주한옥마을이다.

전주한옥마을의 한옥들은 대규모로 도심에 운집해 있다. 마을이 100년이라는 비교적 짧은 시간 동안 지금의 형태를 갖추었기 때문에 전주한옥마을의 한옥들은 전통적 한옥이 아닌 '도시형 한옥'이다. 이러한 도시형 한옥들과 기존에 존재하고 있던 경기전, 풍남문 같은 문화 유적지들의 만남이 전주한옥마을만의 특별한 가치를 형성하고 있다. 현재 전라북도와 전주시에서 전주한옥마을을 문화 관광 명소로 보존, 개발하고 있다."
첨성대,361,"천체의 움직임을 관찰하던 신라시대의 천문관측대로, 받침대 역할을 하는 기단부(基壇部)위에 술병 모양의 원통부(圓筒部)를 올리고 맨 위에 정(井)자형의 정상부(頂上部)를 얹은 모습으로 높이는 약9m이다.

원통부는 부채꼴 모양의 돌로 27단을 쌓아 올렸으며, 매끄럽게 잘 다듬어진 외부에 비해 내부는 돌의 뒷뿌리가 삐죽삐죽 나와 벽면이 고르지 않다. 남동쪽으로 난 창을 중심으로 아래쪽은 막돌로 채워져 있고 위쪽은 정상까지 뚫려서 속이 비어 있다. 동쪽 절반이 판돌로 막혀있는 정상부는 정(井)자 모양으로 맞물린 길다란 석재의 끝이 바깥까지 뚫고 나와있다. 이런 모습은 19∼20단, 25∼26단에서도 발견되는데 내부에서 사다리를 걸치기에 적당했던 것으로 보인다. 옛 기록에 의하면, “사람이 가운데로 해서 올라가게 되어있다”라고 하였는데, 바깥쪽에 사다리를 놓고 창을 통해 안으로 들어간 후 사다리를 이용해 꼭대기까지 올라가 하늘을 관찰했던 것으로 보인다.

천문학은 하늘의 움직임에 따라 농사 시기를 결정할 수 있다는 점에서 농업과 깊은 관계가 있으며, 관측 결과에 따라 국가의 길흉을 점치던 점성술(占星術)이 고대국가에서 중요시되었던 점으로 미루어 보면 정치와도 관련이 깊음을 알 수 있다. 따라서 일찍부터 국가의 큰 관심사가 되었으며, 이는 첨성대 건립의 좋은 배경이 되었을 것으로 여겨진다.

신라 선덕여왕(재위 632∼647) 때 건립된 것으로 추측되며 동양에서 가장 오래된 천문대로 그 가치가 높으며, 당시의 높은 과학 수준을 보여주는 귀중한 문화유산이라 할 수 있다."
성심당 본점,356,"성심당(聖心堂, 영어: Sungsimdang)은 대한민국 대전광역시의 베이커리 전문점으로, 1956년에 개업하였다. 튀김소보로나 부추빵으로 이름이 났으며, 2014년 프란치스코 교황 방한 때 교황의 식사빵을 만든 기업으로 유명하다. 군산 이성당, 서울 나폴레옹, 전주 PNB풍년제과, 부산 비앤씨와 함께 대한민국의 5대 빵집으로 꼽히기도 한다.

점포는 은행동에 위치한 본점과 더불어 대전역, 대전컨벤션센터, 롯데백화점 대전점 등 다섯 곳에 있는데, 대전 외의 지역에는 점포를 내지 않는다. KTX 특송 서비스를 운영하여 타지역에서도 만나볼 수 있었던 성심당은 2022년 12월 25일자로 KTX특송 수화물센터 영업이 종료되었다.

대전상공회의소가 대전 소재 대학생 500명을 대상으로 한 조사에서 2년 연속 대전의 대표 브랜드로 선정되기도 했다. 대전광역시의‘2019년 대전관광 실태조사 및 발전방향 연구’에 따르면 성심당이 관광객 방문 및 추천장소·음식 1위에 올랐다. 2018년에는 연매출 500억을 넘어서기도 했는데(532억), 2017년에 비해 26% 상승한 결과이다."
서귀포 매일 올레시장,334,"서귀포매일올레시장’은 서귀포시 중심에 자리한 전통시장이자, 제주 여행에서 빼놓을 수 없는 필수 코스로 자리매김한 시장이다. 서귀포시 내에서 가장 크고 오래된 상설시장으로 365일 제주도민들과 여행객들로 문전성시를 이루며 경제 활성화에도 큰 역할을 하는 곳이다.

서귀포매일올레시장은 서귀포시 시내 중심에 위치하고 있다. 제주도를 순환하는 일주도로가 서귀포시청 제1청사 앞을 지나는데, 청사 건너편으로 조금 아래쪽으로 내려오면 왼쪽으로 시장이 나타난다. 그 옆에 이중섭거리가 조성되어 있고, 큰길을 따라 내려가면 천지연폭포 입구 사거리가 나타난다.

서귀포매일올레시장은 과거에는 여느 시장처럼 농산물과 수산물, 공산품, 의류 등을 팔았지만 근래에는 서귀포의 특산물인 감귤과 한라봉, 생선과 흑돼지 등을 중심으로 판매하고 있다. 시장을 찾는 관광객의 비중이 높아졌기 때문이다. 또한 수산물의 경우 제주산 은갈치와 회로 먹는 싱싱한 고등어, 옥돔 등을 판매하는 전문 매장도 시장 내에 있다.

그 외에도 다양한 볼거리와 먹거리가 있는 전통시장으로 한 번 들어서게 되면 시간 가는 줄 모르고 구경하게 된다. 인근 관광지로 이중섭거리, 서귀포항, 정방폭포 등이 있어 함께 방문하면 좋다."
속초관광수산시장,315,"속초 여행의 필수 코스로 꼽히는 속초관광수산시장은 동해안의 싱싱한 수산물과 특산물로 넘쳐나는 곳이다. 또 오징어순대, 아바이순대, 닭강정까지 온갖 먹거리가 가득하다. 지하 1층, 지상 2층 규모의 큰 상가 건물과 전문화된 골목 시장들이 어우러져 볼거리를 더한다. 상가 건물 1층에는 포목, 야채, 먹거리가, 2층에는 의류와 생활용품, 잡화점을 비롯해 농협 하나로마트가 입점해 있어 다양한 상품들을 구매할 수 있다. 또한 지하에 회센터가 있어 싱싱한 활어와 해산물을 저렴하게 맛볼 수 있다. 골목 시장은 품목에 따라 청과골목, 순대골목, 젓갈어시장골목 등 총 5개의 골목으로 구분된다. 좌판에 깔린 신선한 농산물과 생선 및 건어물들이 발걸음을 자꾸만 늦추게 만든다. 관광객들이 많이 찾는 닭전 골목은 바삭하고 매콤한 닭강정 점포들이 많다. 가게마다 서로 다른 노하우로 관광객들의 입맛을 사로잡는다. 골목 시장은 모두 비가림 시설이 되어 있어 비가 와도 편하게 방문할 수 있으며 깔끔하고 쾌적한 환경과 넓은 주차장을 갖추고 있다."
제주동문재래시장,315,"동문재래시장은 제주도 도심에 자리하였으며, 가장 크고 역사가 깊은 상설 재래시장이다. 엄청난 규모를 자랑하는 만큼 1년 내내 현지인 그리고 여행객들의 발걸음이 끊이지 않는 곳이다.

낮에는 제주도 상인들의 삶을 담은 시장의 모습을, 밤에는 먹거리가 가득한 야시장의 묘미를 즐길 수 있다. 제주의 특산품, 기념품, 의류, 먹거리 등 온갖 다양한 상품을 판매하고 있어 제주의 만물상이라고 할 수 있다. 제주공항과도 가까워 떠나기 전 잠시 들러 쇼핑하기에도 좋다.

최대 규모의 시장인 만큼 많은 출입구가 존재한다. 총 12개의 출입구로, 동문재래시장에 방문할 때 게이트의 번호를 확인하고 찾아가면 더욱 편리하다. 또한 올레길 17코스의 마지막 점이자 18코스의 시작점으로 제주 여행에 있어 빠질 수 없는 필수 코스라고 할 수 있다.

사람들이 자주 방문하는 먹자 골목은 8번 게이트와 10번 게이트 사이로, 야시장은 오후 6시부터 8번 게이트 근처에서 열린다. 제주 특산물을 활용한 다양한 먹거리를 판매하는 곳으로 제주시 시내 관광을 한다면 꼭 방문해보자. 인근에 산지천, 탑동 광장 등 동문시장을 둘러보고 방문하기 좋은 곳이 있으므로 함께 방문하는 것을 추천한다."
곽지해수욕장,294,"제주특별자치도 제주시 애월읍 곽지리에 있는 해수욕장으로, 길이 약 350m, 폭 70m의 백사장과 평균 수심 1.5m의 비교적 좋은 조건을 갖추었다. 제주시에서 약 10km 떨어져 있으며, 왼쪽에 협재해수욕장이, 오른쪽에 이호해수욕장이 있다. 해안이 북쪽을 향하고 있어 파도도 그리 높지 않다.

물이 빠지면 해수욕장에서 차가운 용천수가 솟아난다. 돌담으로 둘러싸인 이 샘물은 몸을 씻는 것은 물론 식수로도 이용된다. 백사장 뒤로 소나무숲과 적십자 청소년수련장이 마련되어 있어 회사나 각종 단체 모임장소로도 많이 이용되고 있다.

선사시대의 패총이 발견되기도 한 이곳은 현무암 종류의 패사층이 퇴적된 곳으로, 지금도 대합 등의 조개가 많이 서식하고 있다. 물놀이와 겸하여 조개류도 잡는 여유를 즐길 수 있다. 또 유난히 물이 맑고, 제트스키를 탈 수 있는 곳이기도 하다.

해수욕장과 함께 인근의 월명사를 돌아보거나 한담휴게소에서 한림교까지 연결된 해안도로를 따라 드라이브를 하면 현무암 조각들과 절묘한 생김새의 화산절벽을 볼 수 있다. 각종 편의시설은 불편함 없이 갖추어져 있고 소나무 숲에서 야영도 할 수 있다."
